西元年,縣市別,生活用水量_立方公尺,年中供水人數_人,時間型別年,日期格式,顯示年份
2015,新北市,419262076.0,3873128.0,2015-01-01,2015-01-01,2015
2015,臺北市,324974084.0,2697137.0,2015-01-01,2015-01-01,2015
2015,桃園市,185805000.0,1983411.0,2015-01-01,2015-01-01,2015
2015,臺中市,257653522.0,2584283.0,2015-01-01,2015-01-01,2015
2015,臺南市,174220687.0,1866276.0,2015-01-01,2015-01-01,2015
2015,高雄市,258891831.0,2658268.0,2015-01-01,2015-01-01,2015
2015,宜蘭縣,41329516.0,431815.0,2015-01-01,2015-01-01,2015
2015,新竹縣,39984563.0,447156.0,2015-01-01,2015-01-01,2015
2015,苗栗縣,38878777.0,451001.0,2015-01-01,2015-01-01,2015
2015,彰化縣,91806708.0,1203239.0,2015-01-01,2015-01-01,2015
2015,南投縣,37467286.0,400567.0,2015-01-01,2015-01-01,2015
2015,雲林縣,59937971.0,661260.0,2015-01-01,2015-01-01,2015
2015,嘉義縣,40801044.0,469122.0,2015-01-01,2015-01-01,2015
2015,屏東縣,37493401.0,405145.0,2015-01-01,2015-01-01,2015
2015,臺東縣,17187821.0,177196.0,2015-01-01,2015-01-01,2015
2015,花蓮縣,28418183.0,281212.0,2015-01-01,2015-01-01,2015
2015,澎湖縣,7554640.0,95225.0,2015-01-01,2015-01-01,2015
2015,基隆市,39849030.0,370244.0,2015-01-01,2015-01-01,2015
2015,新竹市,47454881.0,428418.0,2015-01-01,2015-01-01,2015
2015,嘉義市,27722884.0,270207.0,2015-01-01,2015-01-01,2015
2015,金門縣,5238528.0,123113.0,2015-01-01,2015-01-01,2015
2015,連江縣,695693.0,12101.0,2015-01-01,2015-01-01,2015
2016,新北市,424657637.0,3881990.0,2016-01-01,2016-01-01,2016
2016,臺北市,325896575.0,2693804.0,2016-01-01,2016-01-01,2016
2016,桃園市,194153086.0,2028825.0,2016-01-01,2016-01-01,2016
2016,臺中市,262928285.0,2628828.0,2016-01-01,2016-01-01,2016
2016,臺南市,176552710.0,1867718.0,2016-01-01,2016-01-01,2016
2016,高雄市,259686226.0,2661270.0,2016-01-01,2016-01-01,2016
2016,宜蘭縣,42097702.0,433279.0,2016-01-01,2016-01-01,2016
2016,新竹縣,41614295.0,456787.0,2016-01-01,2016-01-01,2016
2016,苗栗縣,40018757.0,452275.0,2016-01-01,2016-01-01,2016
2016,彰化縣,93961031.0,1204381.0,2016-01-01,2016-01-01,2016
2016,南投縣,37250542.0,400145.0,2016-01-01,2016-01-01,2016
2016,雲林縣,60917980.0,656762.0,2016-01-01,2016-01-01,2016
2016,嘉義縣,41883823.0,465843.0,2016-01-01,2016-01-01,2016
2016,屏東縣,38547449.0,409318.0,2016-01-01,2016-01-01,2016
2016,臺東縣,17868441.0,177285.0,2016-01-01,2016-01-01,2016
2016,花蓮縣,28457550.0,282387.0,2016-01-01,2016-01-01,2016
2016,澎湖縣,7909424.0,95980.0,2016-01-01,2016-01-01,2016
2016,基隆市,40049461.0,369811.0,2016-01-01,2016-01-01,2016
2016,新竹市,48264247.0,431094.0,2016-01-01,2016-01-01,2016
2016,嘉義市,28141504.0,269750.0,2016-01-01,2016-01-01,2016
2016,金門縣,5285316.0,126626.0,2016-01-01,2016-01-01,2016
2016,連江縣,740067.0,12146.0,2016-01-01,2016-01-01,2016
2017,新北市,428549629.0,3893663.0,2017-01-01,2017-01-01,2017
2017,臺北市,324085886.0,2683072.0,2017-01-01,2017-01-01,2017
2017,桃園市,199708242.0,2069044.0,2017-01-01,2017-01-01,2017
2017,臺中市,266966945.0,2657468.0,2017-01-01,2017-01-01,2017
2017,臺南市,179622647.0,1868783.0,2017-01-01,2017-01-01,2017
2017,高雄市,261689972.0,2663334.0,2017-01-01,2017-01-01,2017
2017,宜蘭縣,43078910.0,434734.0,2017-01-01,2017-01-01,2017
2017,新竹縣,43272194.0,467028.0,2017-01-01,2017-01-01,2017
2017,苗栗縣,40873767.0,450990.0,2017-01-01,2017-01-01,2017
2017,彰化縣,94800146.0,1203473.0,2017-01-01,2017-01-01,2017
2017,南投縣,37430449.0,400434.0,2017-01-01,2017-01-01,2017
2017,雲林縣,61902375.0,652835.0,2017-01-01,2017-01-01,2017
2017,嘉義縣,42372634.0,463334.0,2017-01-01,2017-01-01,2017
2017,屏東縣,39516035.0,417298.0,2017-01-01,2017-01-01,2017
2017,臺東縣,17868389.0,177555.0,2017-01-01,2017-01-01,2017
2017,花蓮縣,28587267.0,283669.0,2017-01-01,2017-01-01,2017
2017,澎湖縣,8119130.0,96864.0,2017-01-01,2017-01-01,2017
2017,基隆市,39964870.0,369535.0,2017-01-01,2017-01-01,2017
2017,新竹市,48545518.0,434635.0,2017-01-01,2017-01-01,2017
2017,嘉義市,27983937.0,269283.0,2017-01-01,2017-01-01,2017
2017,金門縣,5576608.0,128827.0,2017-01-01,2017-01-01,2017
2017,連江縣,766278.0,12150.0,2017-01-01,2017-01-01,2017
2018,新北市,432962640.0,3904319.0,2018-01-01,2018-01-01,2018
2018,臺北市,323346122.0,2669925.0,2018-01-01,2018-01-01,2018
2018,桃園市,204342146.0,2104840.0,2018-01-01,2018-01-01,2018
2018,臺中市,272636913.0,2678246.0,2018-01-01,2018-01-01,2018
2018,臺南市,180324156.0,1867791.0,2018-01-01,2018-01-01,2018
2018,高雄市,263891461.0,2664229.0,2018-01-01,2018-01-01,2018
2018,宜蘭縣,43361308.0,434530.0,2018-01-01,2018-01-01,2018
2018,新竹縣,44981519.0,477814.0,2018-01-01,2018-01-01,2018
2018,苗栗縣,41747398.0,450724.0,2018-01-01,2018-01-01,2018
2018,彰化縣,96379425.0,1200993.0,2018-01-01,2018-01-01,2018
2018,南投縣,37681304.0,399745.0,2018-01-01,2018-01-01,2018
2018,雲林縣,62383651.0,649417.0,2018-01-01,2018-01-01,2018
2018,嘉義縣,42904337.0,461280.0,2018-01-01,2018-01-01,2018
2018,屏東縣,39922133.0,428395.0,2018-01-01,2018-01-01,2018
2018,臺東縣,17826113.0,178442.0,2018-01-01,2018-01-01,2018
2018,花蓮縣,29262569.0,284778.0,2018-01-01,2018-01-01,2018
2018,澎湖縣,8336976.0,97458.0,2018-01-01,2018-01-01,2018
2018,基隆市,39401834.0,368601.0,2018-01-01,2018-01-01,2018
2018,新竹市,49193604.0,439006.0,2018-01-01,2018-01-01,2018
2018,嘉義市,27767604.0,268657.0,2018-01-01,2018-01-01,2018
2018,金門縣,5736680.0,130797.0,2018-01-01,2018-01-01,2018
2018,連江縣,814357.0,12023.0,2018-01-01,2018-01-01,2018
2019,新北市,432962640.0,3904319.0,2019-01-01,2019-01-01,2019
2019,臺北市,323346122.0,2669925.0,2019-01-01,2019-01-01,2019
2019,桃園市,204342146.0,2104840.0,2019-01-01,2019-01-01,2019
2019,臺中市,272636913.0,2678246.0,2019-01-01,2019-01-01,2019
2019,臺南市,180324156.0,1867791.0,2019-01-01,2019-01-01,2019
2019,高雄市,263891461.0,2664229.0,2019-01-01,2019-01-01,2019
2019,宜蘭縣,43361308.0,434530.0,2019-01-01,2019-01-01,2019
2019,新竹縣,44981519.0,477814.0,2019-01-01,2019-01-01,2019
2019,苗栗縣,41747398.0,450724.0,2019-01-01,2019-01-01,2019
2019,彰化縣,96379425.0,1200993.0,2019-01-01,2019-01-01,2019
2019,南投縣,37681304.0,399745.0,2019-01-01,2019-01-01,2019
2019,雲林縣,62383651.0,649417.0,2019-01-01,2019-01-01,2019
2019,嘉義縣,42904337.0,461280.0,2019-01-01,2019-01-01,2019
2019,屏東縣,39922133.0,428395.0,2019-01-01,2019-01-01,2019
2019,臺東縣,17826113.0,178442.0,2019-01-01,2019-01-01,2019
2019,花蓮縣,29262569.0,284778.0,2019-01-01,2019-01-01,2019
2019,澎湖縣,8336976.0,97458.0,2019-01-01,2019-01-01,2019
2019,基隆市,39401834.0,368601.0,2019-01-01,2019-01-01,2019
2019,新竹市,49193604.0,439006.0,2019-01-01,2019-01-01,2019
2019,嘉義市,27767604.0,268657.0,2019-01-01,2019-01-01,2019
2019,金門縣,5736680.0,130797.0,2019-01-01,2019-01-01,2019
2019,連江縣,814357.0,12023.0,2019-01-01,2019-01-01,2019
2020,新北市,438772501.0,3921865.0,2020-01-01,2020-01-01,2020
2020,臺北市,321445396.0,2651244.0,2020-01-01,2020-01-01,2020
2020,桃園市,210430599.0,2137012.0,2020-01-01,2020-01-01,2020
2020,臺中市,278789657.0,2695331.0,2020-01-01,2020-01-01,2020
2020,臺南市,185397452.0,1864897.0,2020-01-01,2020-01-01,2020
2020,高雄市,270495729.0,2666350.0,2020-01-01,2020-01-01,2020
2020,宜蘭縣,44187513.0,434090.0,2020-01-01,2020-01-01,2020
2020,新竹縣,46936629.0,488313.0,2020-01-01,2020-01-01,2020
2020,苗栗縣,42631956.0,452544.0,2020-01-01,2020-01-01,2020
2020,彰化縣,98372481.0,1198832.0,2020-01-01,2020-01-01,2020
2020,南投縣,38380080.0,398993.0,2020-01-01,2020-01-01,2020
2020,雲林縣,63396257.0,646148.0,2020-01-01,2020-01-01,2020
2020,嘉義縣,43669428.0,459156.0,2020-01-01,2020-01-01,2020
2020,屏東縣,41235203.0,442917.0,2020-01-01,2020-01-01,2020
2020,臺東縣,18107679.0,179181.0,2020-01-01,2020-01-01,2020
2020,花蓮縣,29768674.0,286101.0,2020-01-01,2020-01-01,2020
2020,澎湖縣,8453874.0,98025.0,2020-01-01,2020-01-01,2020
2020,基隆市,39778423.0,367382.0,2020-01-01,2020-01-01,2020
2020,新竹市,50254359.0,443073.0,2020-01-01,2020-01-01,2020
2020,嘉義市,28439590.0,267806.0,2020-01-01,2020-01-01,2020
2020,金門縣,5806337.0,132096.0,2020-01-01,2020-01-01,2020
2020,連江縣,838994.0,11552.0,2020-01-01,2020-01-01,2020
2021,新北市,438772501.0,3921865.0,2021-01-01,2021-01-01,2021
2021,臺北市,321445396.0,2651244.0,2021-01-01,2021-01-01,2021
2021,桃園市,210430599.0,2137012.0,2021-01-01,2021-01-01,2021
2021,臺中市,278789657.0,2695331.0,2021-01-01,2021-01-01,2021
2021,臺南市,185397452.0,1864897.0,2021-01-01,2021-01-01,2021
2021,高雄市,270495729.0,2666350.0,2021-01-01,2021-01-01,2021
2021,宜蘭縣,44187513.0,434090.0,2021-01-01,2021-01-01,2021
2021,新竹縣,46936629.0,488313.0,2021-01-01,2021-01-01,2021
2021,苗栗縣,42631956.0,452544.0,2021-01-01,2021-01-01,2021
2021,彰化縣,98372481.0,1198832.0,2021-01-01,2021-01-01,2021
2021,南投縣,38380080.0,398993.0,2021-01-01,2021-01-01,2021
2021,雲林縣,63396257.0,646148.0,2021-01-01,2021-01-01,2021
2021,嘉義縣,43669428.0,459156.0,2021-01-01,2021-01-01,2021
2021,屏東縣,41235203.0,442917.0,2021-01-01,2021-01-01,2021
2021,臺東縣,18107679.0,179181.0,2021-01-01,2021-01-01,2021
2021,花蓮縣,29768674.0,286101.0,2021-01-01,2021-01-01,2021
2021,澎湖縣,8453874.0,98025.0,2021-01-01,2021-01-01,2021
2021,基隆市,39778423.0,367382.0,2021-01-01,2021-01-01,2021
2021,新竹市,50254359.0,443073.0,2021-01-01,2021-01-01,2021
2021,嘉義市,28439590.0,267806.0,2021-01-01,2021-01-01,2021
2021,金門縣,5806337.0,132096.0,2021-01-01,2021-01-01,2021
2021,連江縣,838994.0,11552.0,2021-01-01,2021-01-01,2021
2022,新北市,438772501.0,3921865.0,2022-01-01,2022-01-01,2022
2022,臺北市,321445396.0,2651244.0,2022-01-01,2022-01-01,2022
2022,桃園市,210430599.0,2137012.0,2022-01-01,2022-01-01,2022
2022,臺中市,278789657.0,2695331.0,2022-01-01,2022-01-01,2022
2022,臺南市,185397452.0,1864897.0,2022-01-01,2022-01-01,2022
2022,高雄市,270495729.0,2666350.0,2022-01-01,2022-01-01,2022
2022,宜蘭縣,44187513.0,434090.0,2022-01-01,2022-01-01,2022
2022,新竹縣,46936629.0,488313.0,2022-01-01,2022-01-01,2022
2022,苗栗縣,42631956.0,452544.0,2022-01-01,2022-01-01,2022
2022,彰化縣,98372481.0,1198832.0,2022-01-01,2022-01-01,2022
2022,南投縣,38380080.0,398993.0,2022-01-01,2022-01-01,2022
2022,雲林縣,63396257.0,646148.0,2022-01-01,2022-01-01,2022
2022,嘉義縣,43669428.0,459156.0,2022-01-01,2022-01-01,2022
2022,屏東縣,41235203.0,442917.0,2022-01-01,2022-01-01,2022
2022,臺東縣,18107679.0,179181.0,2022-01-01,2022-01-01,2022
2022,花蓮縣,29768674.0,286101.0,2022-01-01,2022-01-01,2022
2022,澎湖縣,8453874.0,98025.0,2022-01-01,2022-01-01,2022
2022,基隆市,39778423.0,367382.0,2022-01-01,2022-01-01,2022
2022,新竹市,50254359.0,443073.0,2022-01-01,2022-01-01,2022
2022,嘉義市,28439590.0,267806.0,2022-01-01,2022-01-01,2022
2022,金門縣,5806337.0,132096.0,2022-01-01,2022-01-01,2022
2022,連江縣,838994.0,11552.0,2022-01-01,2022-01-01,2022
2023,新北市,438772501.0,3921865.0,2023-01-01,2023-01-01,2023
2023,臺北市,321445396.0,2651244.0,2023-01-01,2023-01-01,2023
2023,桃園市,210430599.0,2137012.0,2023-01-01,2023-01-01,2023
2023,臺中市,278789657.0,2695331.0,2023-01-01,2023-01-01,2023
2023,臺南市,185397452.0,1864897.0,2023-01-01,2023-01-01,2023
2023,高雄市,270495729.0,2666350.0,2023-01-01,2023-01-01,2023
2023,宜蘭縣,44187513.0,434090.0,2023-01-01,2023-01-01,2023
2023,新竹縣,46936629.0,488313.0,2023-01-01,2023-01-01,2023
2023,苗栗縣,42631956.0,452544.0,2023-01-01,2023-01-01,2023
2023,彰化縣,98372481.0,1198832.0,2023-01-01,2023-01-01,2023
2023,南投縣,38380080.0,398993.0,2023-01-01,2023-01-01,2023
2023,雲林縣,63396257.0,646148.0,2023-01-01,2023-01-01,2023
2023,嘉義縣,43669428.0,459156.0,2023-01-01,2023-01-01,2023
2023,屏東縣,41235203.0,442917.0,2023-01-01,2023-01-01,2023
2023,臺東縣,18107679.0,179181.0,2023-01-01,2023-01-01,2023
2023,花蓮縣,29768674.0,286101.0,2023-01-01,2023-01-01,2023
2023,澎湖縣,8453874.0,98025.0,2023-01-01,2023-01-01,2023
2023,基隆市,39778423.0,367382.0,2023-01-01,2023-01-01,2023
2023,新竹市,50254359.0,443073.0,2023-01-01,2023-01-01,2023
2023,嘉義市,28439590.0,267806.0,2023-01-01,2023-01-01,2023
2023,金門縣,5806337.0,132096.0,2023-01-01,2023-01-01,2023
2023,連江縣,838994.0,11552.0,2023-01-01,2023-01-01,2023
2024,新北市,438772501.0,3921865.0,2024-01-01,2024-01-01,2024
2024,臺北市,321445396.0,2651244.0,2024-01-01,2024-01-01,2024
2024,桃園市,210430599.0,2137012.0,2024-01-01,2024-01-01,2024
2024,臺中市,278789657.0,2695331.0,2024-01-01,2024-01-01,2024
2024,臺南市,185397452.0,1864897.0,2024-01-01,2024-01-01,2024
2024,高雄市,270495729.0,2666350.0,2024-01-01,2024-01-01,2024
2024,宜蘭縣,44187513.0,434090.0,2024-01-01,2024-01-01,2024
2024,新竹縣,46936629.0,488313.0,2024-01-01,2024-01-01,2024
2024,苗栗縣,42631956.0,452544.0,2024-01-01,2024-01-01,2024
2024,彰化縣,98372481.0,1198832.0,2024-01-01,2024-01-01,2024
2024,南投縣,38380080.0,398993.0,2024-01-01,2024-01-01,2024
2024,雲林縣,63396257.0,646148.0,2024-01-01,2024-01-01,2024
2024,嘉義縣,43669428.0,459156.0,2024-01-01,2024-01-01,2024
2024,屏東縣,41235203.0,442917.0,2024-01-01,2024-01-01,2024
2024,臺東縣,18107679.0,179181.0,2024-01-01,2024-01-01,2024
2024,花蓮縣,29768674.0,286101.0,2024-01-01,2024-01-01,2024
2024,澎湖縣,8453874.0,98025.0,2024-01-01,2024-01-01,2024
2024,基隆市,39778423.0,367382.0,2024-01-01,2024-01-01,2024
2024,新竹市,50254359.0,443073.0,2024-01-01,2024-01-01,2024
2024,嘉義市,28439590.0,267806.0,2024-01-01,2024-01-01,2024
2024,金門縣,5806337.0,132096.0,2024-01-01,2024-01-01,2024
2024,連江縣,838994.0,11552.0,2024-01-01,2024-01-01,2024
2025,新北市,438772501.0,3921865.0,2025-01-01,2025-01-01,2025
2025,臺北市,321445396.0,2651244.0,2025-01-01,2025-01-01,2025
2025,桃園市,210430599.0,2137012.0,2025-01-01,2025-01-01,2025
2025,臺中市,278789657.0,2695331.0,2025-01-01,2025-01-01,2025
2025,臺南市,185397452.0,1864897.0,2025-01-01,2025-01-01,2025
2025,高雄市,270495729.0,2666350.0,2025-01-01,2025-01-01,2025
2025,宜蘭縣,44187513.0,434090.0,2025-01-01,2025-01-01,2025
2025,新竹縣,46936629.0,488313.0,2025-01-01,2025-01-01,2025
2025,苗栗縣,42631956.0,452544.0,2025-01-01,2025-01-01,2025
2025,彰化縣,98372481.0,1198832.0,2025-01-01,2025-01-01,2025
2025,南投縣,38380080.0,398993.0,2025-01-01,2025-01-01,2025
2025,雲林縣,63396257.0,646148.0,2025-01-01,2025-01-01,2025
2025,嘉義縣,43669428.0,459156.0,2025-01-01,2025-01-01,2025
2025,屏東縣,41235203.0,442917.0,2025-01-01,2025-01-01,2025
2025,臺東縣,18107679.0,179181.0,2025-01-01,2025-01-01,2025
2025,花蓮縣,29768674.0,286101.0,2025-01-01,2025-01-01,2025
2025,澎湖縣,8453874.0,98025.0,2025-01-01,2025-01-01,2025
2025,基隆市,39778423.0,367382.0,2025-01-01,2025-01-01,2025
2025,新竹市,50254359.0,443073.0,2025-01-01,2025-01-01,2025
2025,嘉義市,28439590.0,267806.0,2025-01-01,2025-01-01,2025
2025,金門縣,5806337.0,132096.0,2025-01-01,2025-01-01,2025
2025,連江縣,838994.0,11552.0,2025-01-01,2025-01-01,2025
