年,月,行業別,營業額_千元,年月
2022,2,百貨公司業,31610133,202202
2022,2,超級市場業,17810548,202202
2022,2,便利商店業,26706566,202202
2022,2,零售式量販業,17282006,202202
2022,2,其他綜合商品零售業,8298878,202202
2022,2,食品、飲料及菸草製品零售業,20954220,202202
2022,2,文教育樂用品零售業,7061834,202202
2022,2,燃料及相關產品零售業,20674747,202202
2022,2,資通訊及家電設備零售業,21525652,202202
2022,2,汽機車及其零配件、用品零售業,48479555,202202
2022,2,電子購物及郵購業,31928755,202202
2022,2,餐飲業,68733144,202202
2022,3,百貨公司業,29623471,202203
2022,3,超級市場業,18036771,202203
2022,3,便利商店業,29790314,202203
2022,3,零售式量販業,18190841,202203
2022,3,其他綜合商品零售業,9041498,202203
2022,3,食品、飲料及菸草製品零售業,22434499,202203
2022,3,文教育樂用品零售業,6819777,202203
2022,3,燃料及相關產品零售業,24789822,202203
2022,3,資通訊及家電設備零售業,24550874,202203
2022,3,汽機車及其零配件、用品零售業,64550129,202203
2022,3,電子購物及郵購業,35025307,202203
2022,3,餐飲業,67123423,202203
2022,4,百貨公司業,30671287,202204
2022,4,超級市場業,20093608,202204
2022,4,便利商店業,30016712,202204
2022,4,零售式量販業,18886617,202204
2022,4,其他綜合商品零售業,9479917,202204
2022,4,食品、飲料及菸草製品零售業,22661681,202204
2022,4,文教育樂用品零售業,6688988,202204
2022,4,燃料及相關產品零售業,23076735,202204
2022,4,資通訊及家電設備零售業,24723455,202204
2022,4,汽機車及其零配件、用品零售業,64157514,202204
2022,4,電子購物及郵購業,33986972,202204
2022,4,餐飲業,59796647,202204
2022,5,百貨公司業,22865553,202205
2022,5,超級市場業,21644158,202205
2022,5,便利商店業,30163986,202205
2022,5,零售式量販業,19181859,202205
2022,5,其他綜合商品零售業,8830462,202205
2022,5,食品、飲料及菸草製品零售業,21481546,202205
2022,5,文教育樂用品零售業,5777442,202205
2022,5,燃料及相關產品零售業,21425387,202205
2022,5,資通訊及家電設備零售業,25222415,202205
2022,5,汽機車及其零配件、用品零售業,56716312,202205
2022,5,電子購物及郵購業,36561212,202205
2022,5,餐飲業,55473842,202205
2022,6,百貨公司業,24487920,202206
2022,6,超級市場業,20159588,202206
2022,6,便利商店業,30776906,202206
2022,6,零售式量販業,19342405,202206
2022,6,其他綜合商品零售業,9136342,202206
2022,6,食品、飲料及菸草製品零售業,20776972,202206
2022,6,文教育樂用品零售業,6447886,202206
2022,6,燃料及相關產品零售業,22312298,202206
2022,6,資通訊及家電設備零售業,23729009,202206
2022,6,汽機車及其零配件、用品零售業,56224917,202206
2022,6,電子購物及郵購業,37256253,202206
2022,6,餐飲業,59684695,202206
2022,7,百貨公司業,31577647,202207
2022,7,超級市場業,20930580,202207
2022,7,便利商店業,33420947,202207
2022,7,零售式量販業,21289539,202207
2022,7,其他綜合商品零售業,10037937,202207
2022,7,食品、飲料及菸草製品零售業,22667444,202207
2022,7,文教育樂用品零售業,7448014,202207
2022,7,燃料及相關產品零售業,24674333,202207
2022,7,資通訊及家電設備零售業,24660266,202207
2022,7,汽機車及其零配件、用品零售業,65647987,202207
2022,7,電子購物及郵購業,33969789,202207
2022,7,餐飲業,72659185,202207
2022,8,百貨公司業,30680281,202208
2022,8,超級市場業,22254728,202208
2022,8,便利商店業,33016691,202208
2022,8,零售式量販業,21467091,202208
2022,8,其他綜合商品零售業,10840518,202208
2022,8,食品、飲料及菸草製品零售業,25939580,202208
2022,8,文教育樂用品零售業,7258425,202208
2022,8,燃料及相關產品零售業,24350656,202208
2022,8,資通訊及家電設備零售業,23548586,202208
2022,8,汽機車及其零配件、用品零售業,62589851,202208
2022,8,電子購物及郵購業,34920139,202208
2022,8,餐飲業,75484410,202208
2022,9,百貨公司業,32266355,202209
2022,9,超級市場業,19589708,202209
2022,9,便利商店業,31320047,202209
2022,9,零售式量販業,20345186,202209
2022,9,其他綜合商品零售業,10278043,202209
2022,9,食品、飲料及菸草製品零售業,23069569,202209
2022,9,文教育樂用品零售業,6585750,202209
2022,9,燃料及相關產品零售業,22832690,202209
2022,9,資通訊及家電設備零售業,24351785,202209
2022,9,汽機車及其零配件、用品零售業,65146911,202209
2022,9,電子購物及郵購業,33853002,202209
2022,9,餐飲業,69450875,202209
2022,0,百貨公司業,47480415,202200
2022,0,超級市場業,20534959,202200
2022,0,便利商店業,31770915,202200
2022,0,零售式量販業,19863888,202200
2022,0,其他綜合商品零售業,10730768,202200
2022,0,食品、飲料及菸草製品零售業,24158460,202200
2022,0,文教育樂用品零售業,6761671,202200
2022,0,燃料及相關產品零售業,23194828,202200
2022,0,資通訊及家電設備零售業,26385978,202200
2022,0,汽機車及其零配件、用品零售業,64140622,202200
2022,0,電子購物及郵購業,35602800,202200
2022,0,餐飲業,73990828,202200
2022,1,百貨公司業,42584365,202201
2022,1,超級市場業,18867498,202201
2022,1,便利商店業,32083425,202201
2022,1,零售式量販業,19325514,202201
2022,1,其他綜合商品零售業,10417109,202201
2022,1,食品、飲料及菸草製品零售業,23960940,202201
2022,1,文教育樂用品零售業,7012351,202201
2022,1,燃料及相關產品零售業,22672414,202201
2022,1,資通訊及家電設備零售業,24055861,202201
2022,1,汽機車及其零配件、用品零售業,66246581,202201
2022,1,電子購物及郵購業,52608660,202201
2022,1,餐飲業,72556981,202201
2022,2,百貨公司業,41429121,202202
2022,2,超級市場業,20492234,202202
2022,2,便利商店業,31743791,202202
2022,2,零售式量販業,21872652,202202
2022,2,其他綜合商品零售業,11805635,202202
2022,2,食品、飲料及菸草製品零售業,27209176,202202
2022,2,文教育樂用品零售業,7672536,202202
2022,2,燃料及相關產品零售業,24073493,202202
2022,2,資通訊及家電設備零售業,24089953,202202
2022,2,汽機車及其零配件、用品零售業,71281428,202202
2022,2,電子購物及郵購業,43113315,202202
2022,2,餐飲業,84372689,202202
2023,1,百貨公司業,44087068,202301
2023,1,超級市場業,22149652,202301
2023,1,便利商店業,33630712,202301
2023,1,零售式量販業,26647637,202301
2023,1,其他綜合商品零售業,12425445,202301
2023,1,食品、飲料及菸草製品零售業,27998098,202301
2023,1,文教育樂用品零售業,7929522,202301
2023,1,燃料及相關產品零售業,23029858,202301
2023,1,資通訊及家電設備零售業,24286304,202301
2023,1,汽機車及其零配件、用品零售業,63150390,202301
2023,1,電子購物及郵購業,36315670,202301
2023,1,餐飲業,97517241,202301
2023,2,百貨公司業,30111794,202302
2023,2,超級市場業,17200949,202302
2023,2,便利商店業,28798001,202302
2023,2,零售式量販業,16829360,202302
2023,2,其他綜合商品零售業,10452544,202302
2023,2,食品、飲料及菸草製品零售業,21145975,202302
2023,2,文教育樂用品零售業,6668477,202302
2023,2,燃料及相關產品零售業,20892620,202302
2023,2,資通訊及家電設備零售業,20296556,202302
2023,2,汽機車及其零配件、用品零售業,62587140,202302
2023,2,電子購物及郵購業,33762003,202302
2023,2,餐飲業,75566018,202302
2023,3,百貨公司業,29894370,202303
2023,3,超級市場業,18631699,202303
2023,3,便利商店業,32500751,202303
2023,3,零售式量販業,18242236,202303
2023,3,其他綜合商品零售業,11855963,202303
2023,3,食品、飲料及菸草製品零售業,23529294,202303
2023,3,文教育樂用品零售業,6491308,202303
2023,3,燃料及相關產品零售業,23374953,202303
2023,3,資通訊及家電設備零售業,22105037,202303
2023,3,汽機車及其零配件、用品零售業,84310224,202303
2023,3,電子購物及郵購業,35918946,202303
2023,3,餐飲業,75287663,202303
2023,4,百貨公司業,38041004,202304
2023,4,超級市場業,19145436,202304
2023,4,便利商店業,32030146,202304
2023,4,零售式量販業,18848569,202304
2023,4,其他綜合商品零售業,12759976,202304
2023,4,食品、飲料及菸草製品零售業,21950625,202304
2023,4,文教育樂用品零售業,7061982,202304
2023,4,燃料及相關產品零售業,22278617,202304
2023,4,資通訊及家電設備零售業,22063990,202304
2023,4,汽機車及其零配件、用品零售業,72623980,202304
2023,4,電子購物及郵購業,33214530,202304
2023,4,餐飲業,79434053,202304
2023,5,百貨公司業,34803933,202305
2023,5,超級市場業,19568718,202305
2023,5,便利商店業,33822821,202305
2023,5,零售式量販業,18125802,202305
2023,5,其他綜合商品零售業,12790714,202305
2023,5,食品、飲料及菸草製品零售業,22997018,202305
2023,5,文教育樂用品零售業,6794356,202305
2023,5,燃料及相關產品零售業,23043932,202305
2023,5,資通訊及家電設備零售業,23103297,202305
2023,5,汽機車及其零配件、用品零售業,79890533,202305
2023,5,電子購物及郵購業,37140376,202305
2023,5,餐飲業,81534813,202305
2023,6,百貨公司業,31144615,202306
2023,6,超級市場業,19090696,202306
2023,6,便利商店業,33767126,202306
2023,6,零售式量販業,17930726,202306
2023,6,其他綜合商品零售業,12926292,202306
2023,6,食品、飲料及菸草製品零售業,22268383,202306
2023,6,文教育樂用品零售業,7227107,202306
2023,6,燃料及相關產品零售業,22978369,202306
2023,6,資通訊及家電設備零售業,22210001,202306
2023,6,汽機車及其零配件、用品零售業,82936983,202306
2023,6,電子購物及郵購業,37579653,202306
2023,6,餐飲業,81425847,202306
2023,7,百貨公司業,34181898,202307
2023,7,超級市場業,21449096,202307
2023,7,便利商店業,36062584,202307
2023,7,零售式量販業,19797620,202307
2023,7,其他綜合商品零售業,12787871,202307
2023,7,食品、飲料及菸草製品零售業,22046833,202307
2023,7,文教育樂用品零售業,7925326,202307
2023,7,燃料及相關產品零售業,23883267,202307
2023,7,資通訊及家電設備零售業,23042556,202307
2023,7,汽機車及其零配件、用品零售業,77049708,202307
2023,7,電子購物及郵購業,35226966,202307
2023,7,餐飲業,87535950,202307
2023,8,百貨公司業,31832389,202308
2023,8,超級市場業,24548315,202308
2023,8,便利商店業,35590334,202308
2023,8,零售式量販業,22176307,202308
2023,8,其他綜合商品零售業,12854607,202308
2023,8,食品、飲料及菸草製品零售業,24425809,202308
2023,8,文教育樂用品零售業,7070582,202308
2023,8,燃料及相關產品零售業,24662578,202308
2023,8,資通訊及家電設備零售業,22441287,202308
2023,8,汽機車及其零配件、用品零售業,66820166,202308
2023,8,電子購物及郵購業,36471385,202308
2023,8,餐飲業,87409138,202308
2023,9,百貨公司業,35027344,202309
2023,9,超級市場業,21052573,202309
2023,9,便利商店業,34120287,202309
2023,9,零售式量販業,20346304,202309
2023,9,其他綜合商品零售業,12374676,202309
2023,9,食品、飲料及菸草製品零售業,27162416,202309
2023,9,文教育樂用品零售業,6582672,202309
2023,9,燃料及相關產品零售業,24018707,202309
2023,9,資通訊及家電設備零售業,23255374,202309
2023,9,汽機車及其零配件、用品零售業,69600053,202309
2023,9,電子購物及郵購業,35083919,202309
2023,9,餐飲業,81212150,202309
2023,0,百貨公司業,48358262,202300
2023,0,超級市場業,21007183,202300
2023,0,便利商店業,34417959,202300
2023,0,零售式量販業,18665685,202300
2023,0,其他綜合商品零售業,13096990,202300
2023,0,食品、飲料及菸草製品零售業,24354752,202300
2023,0,文教育樂用品零售業,7025416,202300
2023,0,燃料及相關產品零售業,23593819,202300
2023,0,資通訊及家電設備零售業,25955537,202300
2023,0,汽機車及其零配件、用品零售業,73557055,202300
2023,0,電子購物及郵購業,36156380,202300
2023,0,餐飲業,83420261,202300
2023,1,百貨公司業,44960812,202301
2023,1,超級市場業,19556440,202301
2023,1,便利商店業,33465149,202301
2023,1,零售式量販業,19831027,202301
2023,1,其他綜合商品零售業,12495115,202301
2023,1,食品、飲料及菸草製品零售業,23200649,202301
2023,1,文教育樂用品零售業,7321358,202301
2023,1,燃料及相關產品零售業,22715482,202301
2023,1,資通訊及家電設備零售業,24797915,202301
2023,1,汽機車及其零配件、用品零售業,78800918,202301
2023,1,電子購物及郵購業,54540350,202301
2023,1,餐飲業,79670435,202301
2023,2,百貨公司業,40259361,202302
2023,2,超級市場業,21039138,202302
2023,2,便利商店業,33610084,202302
2023,2,零售式量販業,20255010,202302
2023,2,其他綜合商品零售業,13321069,202302
2023,2,食品、飲料及菸草製品零售業,29004211,202302
2023,2,文教育樂用品零售業,8274968,202302
2023,2,燃料及相關產品零售業,23549552,202302
2023,2,資通訊及家電設備零售業,22839350,202302
2023,2,汽機車及其零配件、用品零售業,77133249,202302
2023,2,電子購物及郵購業,41713864,202302
2023,2,餐飲業,91907108,202302
2024,1,百貨公司業,36723496,202401
2024,1,超級市場業,20647214,202401
2024,1,便利商店業,34301306,202401
2024,1,零售式量販業,23778687,202401
2024,1,其他綜合商品零售業,13162378,202401
2024,1,食品、飲料及菸草製品零售業,27606288,202401
2024,1,文教育樂用品零售業,7157734,202401
2024,1,燃料及相關產品零售業,22825917,202401
2024,1,資通訊及家電設備零售業,23560774,202401
2024,1,汽機車及其零配件、用品零售業,85638166,202401
2024,1,電子購物及郵購業,40445304,202401
2024,1,餐飲業,89778238,202401
2024,2,百貨公司業,38724976,202402
2024,2,超級市場業,20580238,202402
2024,2,便利商店業,32494729,202402
2024,2,零售式量販業,21175682,202402
2024,2,其他綜合商品零售業,13164448,202402
2024,2,食品、飲料及菸草製品零售業,24144955,202402
2024,2,文教育樂用品零售業,7581824,202402
2024,2,燃料及相關產品零售業,20724042,202402
2024,2,資通訊及家電設備零售業,22638008,202402
2024,2,汽機車及其零配件、用品零售業,51137196,202402
2024,2,電子購物及郵購業,34559827,202402
2024,2,餐飲業,91195675,202402
2024,3,百貨公司業,32798255,202403
2024,3,超級市場業,19614271,202403
2024,3,便利商店業,33771390,202403
2024,3,零售式量販業,18257214,202403
2024,3,其他綜合商品零售業,12620646,202403
2024,3,食品、飲料及菸草製品零售業,23323479,202403
2024,3,文教育樂用品零售業,7075542,202403
2024,3,燃料及相關產品零售業,22633826,202403
2024,3,資通訊及家電設備零售業,21329284,202403
2024,3,汽機車及其零配件、用品零售業,81927048,202403
2024,3,電子購物及郵購業,38272352,202403
2024,3,餐飲業,83159024,202403
2024,4,百貨公司業,37628676,202404
2024,4,超級市場業,19832158,202404
2024,4,便利商店業,33895747,202404
2024,4,零售式量販業,18379083,202404
2024,4,其他綜合商品零售業,12881161,202404
2024,4,食品、飲料及菸草製品零售業,21785300,202404
2024,4,文教育樂用品零售業,6858491,202404
2024,4,燃料及相關產品零售業,22189015,202404
2024,4,資通訊及家電設備零售業,23411174,202404
2024,4,汽機車及其零配件、用品零售業,74047498,202404
2024,4,電子購物及郵購業,35266838,202404
2024,4,餐飲業,79974754,202404
2024,5,百貨公司業,34875712,202405
2024,5,超級市場業,20265555,202405
2024,5,便利商店業,35251399,202405
2024,5,零售式量販業,18667968,202405
2024,5,其他綜合商品零售業,13736541,202405
2024,5,食品、飲料及菸草製品零售業,23033320,202405
2024,5,文教育樂用品零售業,6838370,202405
2024,5,燃料及相關產品零售業,22610397,202405
2024,5,資通訊及家電設備零售業,22609128,202405
2024,5,汽機車及其零配件、用品零售業,85232294,202405
2024,5,電子購物及郵購業,37514522,202405
2024,5,餐飲業,84668357,202405
2024,6,百貨公司業,33118991,202406
2024,6,超級市場業,20652135,202406
2024,6,便利商店業,35366163,202406
2024,6,零售式量販業,18887318,202406
2024,6,其他綜合商品零售業,13760412,202406
2024,6,食品、飲料及菸草製品零售業,22917551,202406
2024,6,文教育樂用品零售業,7268799,202406
2024,6,燃料及相關產品零售業,22311081,202406
2024,6,資通訊及家電設備零售業,21895455,202406
2024,6,汽機車及其零配件、用品零售業,86593180,202406
2024,6,電子購物及郵購業,37656556,202406
2024,6,餐飲業,86998193,202406
2024,7,百貨公司業,32444804,202407
2024,7,超級市場業,23033175,202407
2024,7,便利商店業,37701368,202407
2024,7,零售式量販業,20300509,202407
2024,7,其他綜合商品零售業,13602948,202407
2024,7,食品、飲料及菸草製品零售業,22053038,202407
2024,7,文教育樂用品零售業,7066224,202407
2024,7,燃料及相關產品零售業,22821230,202407
2024,7,資通訊及家電設備零售業,23521684,202407
2024,7,汽機車及其零配件、用品零售業,87933338,202407
2024,7,電子購物及郵購業,35881501,202407
2024,7,餐飲業,84799087,202407
2024,8,百貨公司業,33400724,202408
2024,8,超級市場業,24847577,202408
2024,8,便利商店業,37183421,202408
2024,8,零售式量販業,22952454,202408
2024,8,其他綜合商品零售業,13946364,202408
2024,8,食品、飲料及菸草製品零售業,24584056,202408
2024,8,文教育樂用品零售業,7009016,202408
2024,8,燃料及相關產品零售業,23408385,202408
2024,8,資通訊及家電設備零售業,23064075,202408
2024,8,汽機車及其零配件、用品零售業,63456688,202408
2024,8,電子購物及郵購業,37025447,202408
2024,8,餐飲業,89015098,202408
2024,9,百貨公司業,35080432,202409
2024,9,超級市場業,22793727,202409
2024,9,便利商店業,36087251,202409
2024,9,零售式量販業,22183545,202409
2024,9,其他綜合商品零售業,13658254,202409
2024,9,食品、飲料及菸草製品零售業,26120404,202409
2024,9,文教育樂用品零售業,6507808,202409
2024,9,燃料及相關產品零售業,22377626,202409
2024,9,資通訊及家電設備零售業,24060106,202409
2024,9,汽機車及其零配件、用品零售業,76366380,202409
2024,9,電子購物及郵購業,35031139,202409
2024,9,餐飲業,84262237,202409
2024,0,百貨公司業,46472422,202400
2024,0,超級市場業,24034712,202400
2024,0,便利商店業,36725640,202400
2024,0,零售式量販業,20556588,202400
2024,0,其他綜合商品零售業,13706758,202400
2024,0,食品、飲料及菸草製品零售業,24237616,202400
2024,0,文教育樂用品零售業,6559796,202400
2024,0,燃料及相關產品零售業,21194991,202400
2024,0,資通訊及家電設備零售業,26272744,202400
2024,0,汽機車及其零配件、用品零售業,67726259,202400
2024,0,電子購物及郵購業,37279524,202400
2024,0,餐飲業,81932572,202400
2024,1,百貨公司業,46572913,202401
2024,1,超級市場業,21385686,202401
2024,1,便利商店業,35471506,202401
2024,1,零售式量販業,21303508,202401
2024,1,其他綜合商品零售業,13531727,202401
2024,1,食品、飲料及菸草製品零售業,23950261,202401
2024,1,文教育樂用品零售業,7684622,202401
2024,1,燃料及相關產品零售業,21774280,202401
2024,1,資通訊及家電設備零售業,25896383,202401
2024,1,汽機車及其零配件、用品零售業,75554910,202401
2024,1,電子購物及郵購業,54789991,202401
2024,1,餐飲業,86014441,202401
2024,2,百貨公司業,41275022,202402
2024,2,超級市場業,22077223,202402
2024,2,便利商店業,35246568,202402
2024,2,零售式量販業,21960920,202402
2024,2,其他綜合商品零售業,14818761,202402
2024,2,食品、飲料及菸草製品零售業,29166349,202402
2024,2,文教育樂用品零售業,8753377,202402
2024,2,燃料及相關產品零售業,22482873,202402
2024,2,資通訊及家電設備零售業,23997769,202402
2024,2,汽機車及其零配件、用品零售業,75736446,202402
2024,2,電子購物及郵購業,43037498,202402
2024,2,餐飲業,95972333,202402
2025,1,百貨公司業,45771732,202501
2025,1,超級市場業,23887094,202501
2025,1,便利商店業,37585896,202501
2025,1,零售式量販業,27601441,202501
2025,1,其他綜合商品零售業,14698102,202501
2025,1,食品、飲料及菸草製品零售業,30878797,202501
2025,1,文教育樂用品零售業,8649260,202501
2025,1,燃料及相關產品零售業,22151427,202501
2025,1,資通訊及家電設備零售業,24102694,202501
2025,1,汽機車及其零配件、用品零售業,77742405,202501
2025,1,電子購物及郵購業,38868109,202501
2025,1,餐飲業,105612120,202501
2025,2,百貨公司業,31237619,202502
2025,2,超級市場業,19141566,202502
2025,2,便利商店業,31680173,202502
2025,2,零售式量販業,17568376,202502
2025,2,其他綜合商品零售業,12577275,202502
2025,2,食品、飲料及菸草製品零售業,22909591,202502
2025,2,文教育樂用品零售業,7030341,202502
2025,2,燃料及相關產品零售業,20102213,202502
2025,2,資通訊及家電設備零售業,21741904,202502
2025,2,汽機車及其零配件、用品零售業,61676298,202502
2025,2,電子購物及郵購業,35925211,202502
2025,2,餐飲業,82845141,202502
2025,3,百貨公司業,32334797,202503
2025,3,超級市場業,21372926,202503
2025,3,便利商店業,35129188,202503
2025,3,零售式量販業,20256043,202503
2025,3,其他綜合商品零售業,12857652,202503
2025,3,食品、飲料及菸草製品零售業,24356369,202503
2025,3,文教育樂用品零售業,6910242,202503
2025,3,燃料及相關產品零售業,22482598,202503
2025,3,資通訊及家電設備零售業,21194541,202503
2025,3,汽機車及其零配件、用品零售業,78324522,202503
2025,3,電子購物及郵購業,38644816,202503
2025,3,餐飲業,85690559,202503
2025,4,百貨公司業,36482034,202504
2025,4,超級市場業,21309258,202504
2025,4,便利商店業,35300832,202504
2025,4,零售式量販業,19540189,202504
2025,4,其他綜合商品零售業,12992865,202504
2025,4,食品、飲料及菸草製品零售業,24104676,202504
2025,4,文教育樂用品零售業,6861904,202504
2025,4,燃料及相關產品零售業,21061883,202504
2025,4,資通訊及家電設備零售業,22180958,202504
2025,4,汽機車及其零配件、用品零售業,70229695,202504
2025,4,電子購物及郵購業,36191103,202504
2025,4,餐飲業,81542478,202504
2025,5,百貨公司業,36295886,202505
2025,5,超級市場業,22008490,202505
2025,5,便利商店業,37835916,202505
2025,5,零售式量販業,20821107,202505
2025,5,其他綜合商品零售業,13870062,202505
2025,5,食品、飲料及菸草製品零售業,25674200,202505
2025,5,文教育樂用品零售業,6746479,202505
2025,5,燃料及相關產品零售業,20663355,202505
2025,5,資通訊及家電設備零售業,23531022,202505
2025,5,汽機車及其零配件、用品零售業,69922619,202505
2025,5,電子購物及郵購業,38165120,202505
2025,5,餐飲業,90416966,202505
2025,6,百貨公司業,31939653,202506
2025,6,超級市場業,21874503,202506
2025,6,便利商店業,37005168,202506
2025,6,零售式量販業,19604094,202506
2025,6,其他綜合商品零售業,13636970,202506
2025,6,食品、飲料及菸草製品零售業,24687403,202506
2025,6,文教育樂用品零售業,7211753,202506
2025,6,燃料及相關產品零售業,20782389,202506
2025,6,資通訊及家電設備零售業,22465891,202506
2025,6,汽機車及其零配件、用品零售業,71604467,202506
2025,6,電子購物及郵購業,40990743,202506
2025,6,餐飲業,85266722,202506
2025,7,百貨公司業,32361283,202507
2025,7,超級市場業,23330112,202507
2025,7,便利商店業,38814905,202507
2025,7,零售式量販業,19982847,202507
2025,7,其他綜合商品零售業,13663219,202507
2025,7,食品、飲料及菸草製品零售業,24241344,202507
2025,7,文教育樂用品零售業,7600773,202507
2025,7,燃料及相關產品零售業,20819694,202507
2025,7,資通訊及家電設備零售業,22653693,202507
2025,7,汽機車及其零配件、用品零售業,70182060,202507
2025,7,電子購物及郵購業,38431653,202507
2025,7,餐飲業,86562445,202507
2025,8,百貨公司業,34918865,202508
2025,8,超級市場業,25044993,202508
2025,8,便利商店業,38687411,202508
2025,8,零售式量販業,23150059,202508
2025,8,其他綜合商品零售業,14356784,202508
2025,8,食品、飲料及菸草製品零售業,24579164,202508
2025,8,文教育樂用品零售業,7651644,202508
2025,8,燃料及相關產品零售業,21730452,202508
2025,8,資通訊及家電設備零售業,22709368,202508
2025,8,汽機車及其零配件、用品零售業,60605413,202508
2025,8,電子購物及郵購業,39255001,202508
2025,8,餐飲業,93285092,202508
2025,9,百貨公司業,36005493,202509
2025,9,超級市場業,24207846,202509
2025,9,便利商店業,36786568,202509
2025,9,零售式量販業,21293696,202509
2025,9,其他綜合商品零售業,13805267,202509
2025,9,食品、飲料及菸草製品零售業,27894697,202509
2025,9,文教育樂用品零售業,7015739,202509
2025,9,燃料及相關產品零售業,20685850,202509
2025,9,資通訊及家電設備零售業,24895368,202509
2025,9,汽機車及其零配件、用品零售業,64918881,202509
2025,9,電子購物及郵購業,38328758,202509
2025,9,餐飲業,82934920,202509
2025,0,百貨公司業,48341624,202500
2025,0,超級市場業,23648950,202500
2025,0,便利商店業,38439863,202500
2025,0,零售式量販業,21037624,202500
2025,0,其他綜合商品零售業,14195132,202500
2025,0,食品、飲料及菸草製品零售業,26527950,202500
2025,0,文教育樂用品零售業,7715000,202500
2025,0,燃料及相關產品零售業,21381336,202500
2025,0,資通訊及家電設備零售業,27753128,202500
2025,0,汽機車及其零配件、用品零售業,64269920,202500
2025,0,電子購物及郵購業,38661571,202500
2025,0,餐飲業,89469815,202500
2025,1,百貨公司業,49906377,202501
2025,1,超級市場業,22834485,202501
2025,1,便利商店業,37272873,202501
2025,1,零售式量販業,23783986,202501
2025,1,其他綜合商品零售業,13754536,202501
2025,1,食品、飲料及菸草製品零售業,24915515,202501
2025,1,文教育樂用品零售業,8147612,202501
2025,1,燃料及相關產品零售業,20343867,202501
2025,1,資通訊及家電設備零售業,27675463,202501
2025,1,汽機車及其零配件、用品零售業,70312264,202501
2025,1,電子購物及郵購業,55356355,202501
2025,1,餐飲業,88845446,202501
2025,2,百貨公司業,39921836,202502
2025,2,超級市場業,22186855,202502
2025,2,便利商店業,37479078,202502
2025,2,零售式量販業,21673043,202502
2025,2,其他綜合商品零售業,14620371,202502
2025,2,食品、飲料及菸草製品零售業,28388301,202502
2025,2,文教育樂用品零售業,8632615,202502
2025,2,燃料及相關產品零售業,20839910,202502
2025,2,資通訊及家電設備零售業,25119612,202502
2025,2,汽機車及其零配件、用品零售業,83452649,202502
2025,2,電子購物及郵購業,43864191,202502
2025,2,餐飲業,94952739,202502
2026,1,百貨公司業,40552225,202601
2026,1,超級市場業,22098389,202601
2026,1,便利商店業,38070156,202601
2026,1,零售式量販業,24887964,202601
2026,1,其他綜合商品零售業,14299058,202601
2026,1,食品、飲料及菸草製品零售業,29576068,202601
2026,1,文教育樂用品零售業,8437742,202601
2026,1,燃料及相關產品零售業,20345676,202601
2026,1,資通訊及家電設備零售業,25311626,202601
2026,1,汽機車及其零配件、用品零售業,72514833,202601
2026,1,電子購物及郵購業,43754042,202601
2026,1,餐飲業,96702449,202601
2026,2,百貨公司業,42696798,202602
2026,2,超級市場業,22075999,202602
2026,2,便利商店業,34838912,202602
2026,2,零售式量販業,23804197,202602
2026,2,其他綜合商品零售業,14506849,202602
2026,2,食品、飲料及菸草製品零售業,27505632,202602
2026,2,文教育樂用品零售業,8000122,202602
2026,2,燃料及相關產品零售業,18364652,202602
2026,2,資通訊及家電設備零售業,23033433,202602
2026,2,汽機車及其零配件、用品零售業,46023050,202602
2026,2,電子購物及郵購業,36382145,202602
2026,2,餐飲業,100337633,202602
